subscribers,enriched_at,channel_name,channel_url,videos,estimated_monthly_earnings,avg_video_duration,scraped_at,total_views,rank
70100000,2026-02-13T20:54:43.788937+00:00,Sony Music India,https://vidiq.com/fr/youtube-stats/channel/UC56gTxNs4f9xZ7Pa2i5xNzg/,11590,$1M - $4M,17 min,2026-02-13T20:51:37.149950,57110000000,43
69800000,2026-02-13T20:54:48.561160+00:00,Bispo Bruno Leonardo,https://vidiq.com/fr/youtube-stats/channel/UCVNouUw3d3l5JYVCxhAQXKA/,8980,$475K - $1M,14 min,2026-02-13T20:51:37.149950,10460000000,44
69300000,2026-02-13T20:54:53.682900+00:00,Wave Music,https://vidiq.com/fr/youtube-stats/channel/UC22nIfOTM7KLIQuFGMKzQbg/,21030,$347K - $1M,11 min,2026-02-13T20:51:37.149950,47840000000,45
68000000,2026-02-13T20:54:58.388009+00:00,Canal KondZilla,https://vidiq.com/fr/youtube-stats/channel/UCffDXn7ycAzwL2LDlbyWOTw/,3500,$95K - $285K,4 min,2026-02-13T20:51:37.149950,40120000000,46
67800000,2026-02-13T20:55:02.004953+00:00,Anaya Kandhal,https://vidiq.com/fr/youtube-stats/channel/UC4wEPe5mrHGAUjjTfXH_C-Q/,3720,$5M - $14M,56 min,2026-02-13T20:51:37.149950,90890000000,47
67600000,2026-02-13T20:55:06.784431+00:00,Zhong,https://vidiq.com/fr/youtube-stats/channel/UCyagEfIN1okQ-s996XAqCFQ/,2230,$815K - $2M,36 min,2026-02-13T20:51:37.149950,22380000000,48
67099999,2026-02-13T20:55:10.219898+00:00,ARY Digital HD,https://vidiq.com/fr/youtube-stats/channel/UC4JCksJF76g_MdzPVBJoC3Q/,213990,$1M - $4M,12 min,2026-02-13T20:51:37.149950,72200000000,49
67099999,2026-02-13T20:55:14.513989+00:00,YOLO AVENTURAS,https://vidiq.com/fr/youtube-stats/channel/UCOnIJiQuk1fDSp6p1GCZy3A/,3240,$627K - $2M,18 min,2026-02-13T20:51:37.149950,27250000000,50
66400000,2026-02-13T20:55:18.784064+00:00,EminemMusic,https://vidiq.com/fr/youtube-stats/channel/UCfM3zsQsOnfWNUppiycmBuw/,210,$433K - $1M,4 min,2026-02-13T20:51:37.149950,36410000000,51
65800000,2026-02-13T20:55:22.488579+00:00,Movieclips,https://vidiq.com/fr/youtube-stats/channel/UC3gNmTGu-TTbFPpfSs5kNkg/,44190,$469K - $1M,6 min,2026-02-13T20:51:37.149950,68550000000,52
63000000,2026-02-13T20:55:27.650510+00:00,Taylor Swift,https://vidiq.com/fr/youtube-stats/channel/UCqECaJ8Gagnn7YCbPEzWH6g/,652,$515K - $2M,3 min,2026-02-13T20:51:37.149950,43500000000,53
62500000,2026-02-13T20:55:31.616712+00:00,PANDA BOI,https://vidiq.com/fr/youtube-stats/channel/UC0Wju2yvRlfwqraLlz5152Q/,1270,$79K - $238K,6 min,2026-02-13T20:51:37.149950,27320000000,54
61800000,2026-02-13T20:55:36.825903+00:00,Dude Perfect,https://vidiq.com/fr/youtube-stats/channel/UCRijo3ddMTht_IHyNSNXpNQ/,543,$168K - $505K,24 min,2026-02-13T20:51:37.149950,20140000000,55
61700000,2026-02-13T20:55:40.360420+00:00,LooLoo Kids - Nursery Rhymes and Children's Songs,https://vidiq.com/fr/youtube-stats/channel/UC4NALVCmcmL5ntpV0thoH6w/,935,$626K - $2M,4 min,2026-02-13T20:51:37.149950,40200000000,56
61300000,2026-02-13T20:55:45.383502+00:00,Shemaroo,https://vidiq.com/fr/youtube-stats/channel/UCF1JIbMUs6uqoZEY1Haw0GQ/,13620,$261K - $782K,88 min,2026-02-13T20:51:37.149950,27660000000,57
60700000,2026-02-13T20:55:50.128074+00:00,Saregama Music,https://vidiq.com/fr/youtube-stats/channel/UC_A7K2dXFsTMAciGmnNxy-Q/,10450,$760K - $2M,11 min,2026-02-13T20:51:37.149950,31880000000,58
59900000,2026-02-13T20:55:54.131576+00:00,Dangal TV Channel,https://vidiq.com/fr/youtube-stats/channel/UCNzmmbXIbMzlqE8nD1PBXfg/,49410,$3M - $10M,17 min,2026-02-13T20:51:37.149950,53550000000,59
59800000,2026-02-13T20:55:58.251142+00:00,आचार्य प्रशान्त - Acharya Prashant,https://vidiq.com/fr/youtube-stats/channel/UCMgapddJymOC6MBOiOqia1A/,18090,$250K - $750K,54 min,2026-02-13T20:51:37.149950,5370000000,60
59600000,2026-02-13T20:56:01.601277+00:00,Маша и Медведь,https://vidiq.com/fr/youtube-stats/channel/UCRv76wLBC73jiP7LX4C3l8Q/,2490,$895K - $3M,42 min,2026-02-13T20:51:37.149950,52400000000,61
59600000,2026-02-13T20:56:05.159905+00:00,ToRung,https://vidiq.com/fr/youtube-stats/channel/UCXbYlU08sOTBktOtjVsvR6w/,336,$0 - $0,4 min,2026-02-13T20:51:37.149950,12360000000,62
59500000,2026-02-13T20:56:08.543148+00:00,SonyMusicIndiaVEVO,https://vidiq.com/fr/youtube-stats/channel/UC3MLnJtqc_phABBriLRhtgQ/,3810,$616K - $2M,5 min,2026-02-13T20:51:37.149950,41280000000,63
59000000,2026-02-13T20:56:13.172960+00:00,Ed Sheeran,https://vidiq.com/fr/youtube-stats/channel/UC0C-w0YjGpqDXGB8IHb662A/,744,$0 - $0,3 min,2026-02-13T20:51:37.149950,37170000000,64
